"Date","Time","Open","High","Low","Close","Vol","OI"
05/21/2024,23:00,453.04,455.99,452.84,455.80,23167720,0
05/22/2024,23:00,456.06,456.82,453.08,455.71,25120040,0
05/23/2024,23:00,460.55,460.58,451.85,453.66,40899230,0
05/24/2024,23:00,455.29,459.23,453.57,457.95,29669461,0
05/28/2024,23:00,459.18,459.74,456.69,459.68,26216815,0
05/29/2024,23:00,455.48,458.24,455.34,456.44,29739238,0
05/30/2024,23:00,455.50,455.64,450.21,451.55,30714121,0
05/31/2024,23:00,451.78,452.48,443.06,450.71,55941301,0
06/03/2024,23:00,454.57,455.58,447.90,453.13,32997467,0
06/04/2024,23:00,452.87,455.58,451.13,454.37,23767436,0
06/05/2024,23:00,457.98,463.61,454.41,463.53,33817409,0
06/06/2024,23:00,464.22,464.54,462.19,463.37,21966820,0
06/07/2024,23:00,463.00,465.74,461.84,462.96,25829720,0
06/10/2024,23:00,461.82,465.19,461.53,464.83,20719771,0
06/11/2024,23:00,463.54,468.14,462.03,468.02,22053281,0
06/12/2024,23:00,471.99,476.50,471.29,474.15,34532585,0
06/13/2024,23:00,477.72,478.39,474.42,476.72,25859014,0
06/14/2024,23:00,476.52,479.26,476.05,479.19,23372620,0
06/17/2024,23:00,479.46,486.86,478.14,485.06,37054504,0
06/18/2024,23:00,485.01,485.90,483.43,485.21,24438565,0
06/20/2024,23:00,486.42,486.84,479.62,481.47,33918683,0
06/21/2024,23:00,481.19,482.54,478.67,480.18,39432913,0
06/24/2024,23:00,478.18,479.93,473.82,473.96,37750969,0
06/25/2024,23:00,476.07,479.68,475.12,479.38,29250209,0
06/26/2024,23:00,478.55,480.92,478.13,480.37,22737105,0
06/27/2024,23:00,480.12,483.10,479.30,481.61,26222135,0
06/28/2024,23:00,482.41,487.20,478.46,479.11,34881581,0
07/01/2024,23:00,480.04,482.49,476.26,481.92,24898336,0
07/02/2024,23:00,480.41,487.04,480.28,486.98,26723559,0
07/03/2024,23:00,486.22,491.17,486.22,491.04,18064880,0
07/05/2024,23:00,491.89,496.60,491.59,496.16,28495936,0
07/08/2024,23:00,496.53,497.90,495.50,497.34,22109420,0
07/09/2024,23:00,498.87,500.00,496.24,497.77,25701253,0
07/10/2024,23:00,499.71,503.52,498.39,502.96,28046901,0
07/11/2024,23:00,503.07,503.28,490.73,491.93,49966590,0
07/12/2024,23:00,492.51,499.62,492.04,494.82,37109399,0
07/15/2024,23:00,496.61,501.01,494.09,496.15,31151386,0
07/16/2024,23:00,497.62,498.44,493.15,496.34,25950622,0
07/17/2024,23:00,488.28,488.80,481.70,481.77,56268768,0
07/18/2024,23:00,485.53,485.71,476.27,479.49,50231943,0
07/19/2024,23:00,479.15,481.69,473.94,475.24,42042856,0
07/22/2024,23:00,481.16,483.35,477.71,482.32,40299999,0
07/23/2024,23:00,481.41,484.43,480.14,480.62,23282454,0
07/24/2024,23:00,473.82,474.19,462.51,463.38,58818629,0
07/25/2024,23:00,463.72,467.94,455.63,458.27,59256759,0
07/26/2024,23:00,462.65,465.93,459.77,462.97,39992132,0
